zipcode,borough,week_of_year,week_sin,week_cos,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w
11375,Queens,33,-0.7485,-0.6631,40.72297,-73.84318,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,2
11377,Queens,33,-0.7485,-0.6631,40.74477,-73.90516,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,1,5
11378,Queens,33,-0.7485,-0.6631,40.72474,-73.90964,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,2,2
11379,Queens,33,-0.7485,-0.6631,40.71706,-73.88052,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,2,5
11385,Queens,33,-0.7485,-0.6631,40.70065,-73.88942,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,2
11411,Queens,33,-0.7485,-0.6631,40.69406,-73.73627,23.56,26.92,20.28,80.6,79.7,25.1,25.657,66.857,22.2,101.9,178.8,0,0
11412,Queens,33,-0.7485,-0.6631,40.69802,-73.75908,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,0
11413,Queens,33,-0.7485,-0.6631,40.67117,-73.75206,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,2,4
11414,Queens,33,-0.7485,-0.6631,40.6576,-73.8448,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,1,3
11415,Queens,33,-0.7485,-0.6631,40.70808,-73.82804,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,1,3
11416,Queens,33,-0.7485,-0.6631,40.68459,-73.84971,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,0
11417,Queens,33,-0.7485,-0.6631,40.67641,-73.84459,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,1,3
11418,Queens,33,-0.7485,-0.6631,40.70032,-73.83602,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,2
11419,Queens,33,-0.7485,-0.6631,40.68861,-73.82306,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,0
11420,Queens,33,-0.7485,-0.6631,40.6735,-73.8177,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,2,4
11421,Queens,33,-0.7485,-0.6631,40.69403,-73.85866,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,1,4
11422,Queens,33,-0.7485,-0.6631,40.66079,-73.73757,23.56,26.92,20.28,80.6,79.7,25.1,25.657,66.857,22.2,101.9,178.8,2,4
11423,Queens,33,-0.7485,-0.6631,40.71567,-73.7683,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,1,3
11426,Queens,33,-0.7485,-0.6631,40.73641,-73.72236,23.28,27.5,19.76,81.2,74.1,25.371,25.971,63.571,29.7,103.8,181.5,0,3
11427,Queens,33,-0.7485,-0.6631,40.73094,-73.74572,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,1
11428,Queens,33,-0.7485,-0.6631,40.72099,-73.7422,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,0
11429,Queens,33,-0.7485,-0.6631,40.70956,-73.73848,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,0
11430,Queens,33,-0.7485,-0.6631,40.64697,-73.7873,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,0
11432,Queens,33,-0.7485,-0.6631,40.71493,-73.79296,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,2
11433,Queens,33,-0.7485,-0.6631,40.69809,-73.78675,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,1,3
11434,Queens,33,-0.7485,-0.6631,40.67786,-73.77707,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,2,5
11435,Queens,33,-0.7485,-0.6631,40.70108,-73.80964,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,2
11436,Queens,33,-0.7485,-0.6631,40.67586,-73.79665,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,1,3
11451,Queens,33,-0.7485,-0.6631,40.70119,-73.79578,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,0
11691,Queens,33,-0.7485,-0.6631,40.6021,-73.76179,23.54,27.18,20.3,81.0,74.3,25.171,26.1,66.286,22.4,96.7,182.0,1,2
11692,Queens,33,-0.7485,-0.6631,40.59415,-73.79199,23.56,27.18,20.3,81.0,74.3,25.214,26.129,66.286,22.4,96.7,182.6,1,0
11693,Queens,33,-0.7485,-0.6631,40.59166,-73.80967,23.56,27.18,20.3,81.0,74.3,25.214,26.129,66.286,22.4,96.7,182.6,0,0
11694,Queens,33,-0.7485,-0.6631,40.57531,-73.85124,23.56,27.18,20.3,81.0,74.3,25.214,26.143,66.286,22.4,96.7,182.7,0,0
11697,Queens,33,-0.7485,-0.6631,40.55713,-73.91372,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,0
