zip_code,zipcode,borough,areas,neighborhoods,latitude,longitude
10462,10462,Bronx,Pelham Parkway,Pelham Parkway,40.84327,-73.86042
10463,10463,Bronx,New York Metropolitan Area,,40.88634,-73.90155
10464,10464,Bronx,Co-op City,Co-op City,40.86959,-73.79585
10465,10465,Bronx,"Spencer Estates, Throgs Neck, Schuylerville","Spencer Estates, Throgs Neck, Schuylerville",40.82733,-73.82217
10466,10466,Bronx,New York Metropolitan Area,,40.89096,-73.84624
10467,10467,Bronx,"Woodlawn, Norwood","Woodlawn, Norwood",40.87526,-73.87203
10468,10468,Bronx,New York Metropolitan Area,,40.86894,-73.9
10469,10469,Bronx,Baychester,Baychester,40.86851,-73.84669
10470,10470,Bronx,New York Metropolitan Area,,40.88953,-73.87259
10471,10471,Bronx,"North Riverdale, Fieldston","North Riverdale, Fieldston",40.89998,-73.90675
10472,10472,Bronx,New York Metropolitan Area,,40.82968,-73.86937
10473,10473,Bronx,"Clason Point, Harding Park, Castle Hill, Soundview","Clason Point, Harding Park, Castle Hill, Soundview",40.81869,-73.85847
10474,10474,Bronx,Hunts Point,Hunts Point,40.81134,-73.88517
10475,10475,Bronx,Co-op City,Co-op City,40.87564,-73.82693
11001,11001,Queens,New York Metropolitan Area,,40.72332,-73.70495
11004,11004,Queens,Floral Park,Floral Park,40.74619,-73.71151
11005,11005,Queens,Little Neck,Little Neck,40.75664,-73.71424
11040,11040,Queens,New York Metropolitan Area,,40.74535,-73.68029
11096,11096,Queens,New York Metropolitan Area,,40.62135,-73.75699
11101,11101,Queens,"Blissville, Dutch Kills","Blissville, Dutch Kills",40.74711,-73.93971
11102,11102,Queens,New York Metropolitan Area,,40.7716,-73.9256
11103,11103,Queens,New York Metropolitan Area,,40.7626,-73.91328
11104,11104,Queens,New York Metropolitan Area,,40.74484,-73.92047
11105,11105,Queens,Steinway,Steinway,40.77909,-73.90652
11106,11106,Queens,New York Metropolitan Area,,40.76221,-73.93153
11109,11109,Queens,New York Metropolitan Area,,40.74662,-73.95701
11201,11201,Brooklyn,New York Metropolitan Area,,40.6937,-73.98986
11203,11203,Brooklyn,Prospect Lefferts Gardens,Prospect Lefferts Gardens,40.64957,-73.93433
11204,11204,Brooklyn,Bensonhurst,Bensonhurst,40.61881,-73.98494
11205,11205,Brooklyn,New York Metropolitan Area,,40.69689,-73.96807
11206,11206,Brooklyn,East Williamsburg,East Williamsburg,40.70187,-73.94255
11207,11207,Brooklyn,"New Lots, Broadway Junction","New Lots, Broadway Junction",40.67016,-73.89383
11208,11208,Brooklyn,"Spring Creek, Cypress Hills","Spring Creek, Cypress Hills",40.67485,-73.87248
11209,11209,Brooklyn,Bay Ridge,Bay Ridge,40.6218,-74.03015
11210,11210,Brooklyn,New York Metropolitan Area,,40.62806,-73.94631
11211,11211,Brooklyn,New York Metropolitan Area,,40.71408,-73.94517
11212,11212,Brooklyn,Brownsville,Brownsville,40.66291,-73.91307
11213,11213,Brooklyn,New York Metropolitan Area,,40.67115,-73.93627
11214,11214,Brooklyn,"Bath Beach, Bensonhurst","Bath Beach, Bensonhurst",40.59969,-73.99637
11215,11215,Brooklyn,"Gowanus, Windsor Terrace","Gowanus, Windsor Terrace",40.66269,-73.98674
11216,11216,Brooklyn,New York Metropolitan Area,,40.68084,-73.94922
11217,11217,Brooklyn,New York Metropolitan Area,,40.68167,-73.97853
11218,11218,Brooklyn,New York Metropolitan Area,,40.64312,-73.97645
11219,11219,Brooklyn,"Dyker Heights, Kensington","Dyker Heights, Kensington",40.63262,-73.99677
11220,11220,Brooklyn,Sunset Park,Sunset Park,40.64103,-74.01669
11221,11221,Brooklyn,"Bedford Stuyvesant, Bushwick","Bedford Stuyvesant, Bushwick",40.69143,-73.92763
11222,11222,Brooklyn,Greenpoint,Greenpoint,40.72779,-73.9476
11223,11223,Brooklyn,Gravesend,Gravesend,40.59709,-73.97347
11224,11224,Brooklyn,New York Metropolitan Area,,40.57737,-73.98871
11225,11225,Brooklyn,New York Metropolitan Area,,40.66312,-73.95387
11226,11226,Brooklyn,New York Metropolitan Area,,40.64641,-73.95666
11228,11228,Brooklyn,Dyker Heights,Dyker Heights,40.61673,-74.01343
11229,11229,Brooklyn,"Homecrest, Marine Park","Homecrest, Marine Park",40.60129,-73.94449
11230,11230,Brooklyn,New York Metropolitan Area,,40.62209,-73.96519
11231,11231,Brooklyn,New York Metropolitan Area,,40.67792,-74.00515
11232,11232,Brooklyn,"Greenwood Heights, Greenwood Cemetery","Greenwood Heights, Greenwood Cemetery",40.65654,-74.00518
11233,11233,Brooklyn,New York Metropolitan Area,,40.6783,-73.91993
11234,11234,Brooklyn,"Bergen Beach, Marine Park, Flatlands, Mill Basin","Bergen Beach, Marine Park, Flatlands, Mill Basin",40.60772,-73.91065
11235,11235,Brooklyn,"Sheeps Head Bay, Brighton Beach","Sheeps Head Bay, Brighton Beach",40.58422,-73.94317
11236,11236,Brooklyn,"Starrett City, Canarsie, Remsen Village","Starrett City, Canarsie, Remsen Village",40.63941,-73.90066
11237,11237,Brooklyn,East Williamsburg,East Williamsburg,40.70416,-73.92114
11238,11238,Brooklyn,Prospect Heights,Prospect Heights,40.67133,-73.96594
11239,11239,Brooklyn,New York Metropolitan Area,,40.64689,-73.86401
11249,11249,Brooklyn,New York Metropolitan Area,,40.7045,-73.966
11251,11251,Brooklyn,New York Metropolitan Area,,40.6782,-73.9442
11354,11354,Queens,"Flushing, College Point","Flushing, College Point",40.76821,-73.82739
11355,11355,Queens,"Queensboro Hill, Downtown Flushing, Murray Hills","Queensboro Hill, Downtown Flushing, Murray Hills",40.75144,-73.82123
11356,11356,Queens,"College Point, Malba","College Point, Malba",40.78487,-73.84153
11357,11357,Queens,"Beechhurst, Whitestone, Malba","Beechhurst, Whitestone, Malba",40.78513,-73.81004
11358,11358,Queens,Auburndale,Auburndale,40.76036,-73.79653
11359,11359,Queens,New York Metropolitan Area,,40.7916,-73.77672
11360,11360,Queens,Bay Terrace,Bay Terrace,40.78042,-73.78184
11361,11361,Queens,Bayside,Bayside,40.76419,-73.77277
11362,11362,Queens,Douglaston,Douglaston,40.7602,-73.73242
11363,11363,Queens,Douglas Manor,Douglas Manor,40.77235,-73.74629
11364,11364,Queens,Oakland Gardens,Oakland Gardens,40.74625,-73.75606
11365,11365,Queens,"Fresh Meadows, Pomonok, Auburndale","Fresh Meadows, Pomonok, Auburndale",40.73963,-73.79449
11366,11366,Queens,New York Metropolitan Area,,40.73112,-73.78046
11367,11367,Queens,"Kew Gardens Hills, Queensboro Hill","Kew Gardens Hills, Queensboro Hill",40.73047,-73.82275
11368,11368,Queens,"Queensboro Hill, Corona","Queensboro Hill, Corona",40.74974,-73.85304
11369,11369,Queens,New York Metropolitan Area,,40.76349,-73.87222
11370,11370,Queens,Astoria Heights,Astoria Heights,40.76539,-73.89422
11371,11371,Queens,New York Metropolitan Area,,40.77441,-73.87327
11372,11372,Queens,New York Metropolitan Area,,40.75172,-73.88367
11373,11373,Queens,New York Metropolitan Area,,40.73895,-73.87856
11374,11374,Queens,Rego Park,Rego Park,40.72646,-73.86146
11375,11375,Queens,Forest Hills Gardens,Forest Hills Gardens,40.72297,-73.84318
11377,11377,Queens,"Maspeth, Astoria Heights, Sunnyside Gardens","Maspeth, Astoria Heights, Sunnyside Gardens",40.74477,-73.90516
