borough,zip_code,week_of_year,week_sin,week_cos,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w,zipcode
Manhattan,10038,33,-0.7485,-0.6631,40.70926,-74.0029,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10038
Manhattan,10039,33,-0.7485,-0.6631,40.82629,-73.93753,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10039
Manhattan,10040,33,-0.7485,-0.6631,40.8581,-73.9296,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,0,0,10040
Manhattan,10044,33,-0.7485,-0.6631,40.76191,-73.94997,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10044
Manhattan,10048,33,-0.7485,-0.6631,40.7831,-73.9712,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10048
Manhattan,10065,33,-0.7485,-0.6631,40.76469,-73.96326,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10065
Manhattan,10069,33,-0.7485,-0.6631,40.77738,-73.98883,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10069
Manhattan,10075,33,-0.7485,-0.6631,40.77341,-73.95629,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10075
Manhattan,10111,33,-0.7485,-0.6631,40.75953,-73.97858,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10111
Manhattan,10115,33,-0.7485,-0.6631,40.81085,-73.96374,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10115
Manhattan,10128,33,-0.7485,-0.6631,40.7815,-73.9502,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10128
Manhattan,10280,33,-0.7485,-0.6631,40.7097,-74.01659,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10280
Manhattan,10281,33,-0.7485,-0.6631,40.7831,-73.9712,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10281
Manhattan,10282,33,-0.7485,-0.6631,40.71638,-74.015,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10282
Staten Island,10301,33,-0.7485,-0.6631,40.6275,-74.09438,23.8,27.94,20.5,79.8,61.4,25.414,26.057,66.0,25.9,87.3,184.5,1,4,10301
Staten Island,10302,33,-0.7485,-0.6631,40.63081,-74.13766,23.8,27.94,20.5,79.8,61.4,25.414,26.057,66.0,25.9,87.3,184.5,0,3,10302
Staten Island,10303,33,-0.7485,-0.6631,40.62989,-74.17413,23.76,28.12,20.18,78.0,42.7,25.086,25.957,67.143,34.3,77.0,181.3,1,3,10303
Staten Island,10304,33,-0.7485,-0.6631,40.60596,-74.09354,23.8,27.94,20.5,79.8,61.4,25.414,26.057,66.0,25.9,87.3,184.5,2,2,10304
Staten Island,10305,33,-0.7485,-0.6631,40.59655,-74.07578,23.8,27.94,20.5,79.8,61.4,25.414,26.057,66.0,25.9,87.3,184.5,2,5,10305
Staten Island,10306,33,-0.7485,-0.6631,40.57171,-74.12426,23.8,27.94,20.5,79.8,61.4,25.414,26.057,66.0,25.9,87.3,184.5,1,6,10306
Staten Island,10307,33,-0.7485,-0.6631,40.50775,-74.24209,23.84,28.2,20.48,79.4,41.2,25.0,25.6,69.143,31.9,73.1,178.7,1,3,10307
Staten Island,10308,33,-0.7485,-0.6631,40.55283,-74.15153,23.7,27.98,20.24,79.2,45.9,24.986,25.671,68.143,28.4,74.3,178.5,0,0,10308
Staten Island,10309,33,-0.7485,-0.6631,40.52984,-74.21978,23.84,28.2,20.48,79.4,41.2,25.0,25.6,69.143,31.9,73.1,178.7,1,3,10309
Staten Island,10310,33,-0.7485,-0.6631,40.63261,-74.11615,23.8,27.94,20.5,79.8,61.4,25.414,26.057,66.0,25.9,87.3,184.5,0,4,10310
Staten Island,10312,33,-0.7485,-0.6631,40.54524,-74.18044,23.8,28.08,20.34,79.2,45.9,25.086,25.771,68.143,28.4,74.3,180.3,0,2,10312
Staten Island,10314,33,-0.7485,-0.6631,40.6007,-74.16431,23.8,28.08,20.34,79.2,45.9,25.086,25.771,68.143,28.4,74.3,180.3,1,9,10314
Bronx,10451,33,-0.7485,-0.6631,40.82217,-73.92262,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10451
Bronx,10452,33,-0.7485,-0.6631,40.83779,-73.92334,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10452
