Feature,Coefficient,Absolute_Impact
borough_Manhattan,-1.5782914973258735,1.5782914973258735
borough_Staten Island,1.5706536468121917,1.5706536468121917
zipcode_11426,1.5699417639511812,1.5699417639511812
zipcode_11423,1.4440405975714372,1.4440405975714372
positives_last_1w,1.2815360274635286,1.2815360274635286
degree_days_14d,1.1492134581648459,1.1492134581648459
zipcode_10025,1.1186349353476854,1.1186349353476854
week_sin,-1.1001976648587632,1.1001976648587632
week_cos,-1.0966521463681638,1.0966521463681638
zipcode_10002,1.0835915085062024,1.0835915085062024
zipcode_10304,-1.0051713956096857,1.0051713956096857
zipcode_10027,0.9989790259249347,0.9989790259249347
zipcode_11360,0.9927529791957808,0.9927529791957808
zipcode_11368,0.9761347639157164,0.9761347639157164
zipcode_11365,0.9648585092577618,0.9648585092577618
zipcode_10314,0.8891641244347458,0.8891641244347458
zipcode_00083,0.8888560396778005,0.8888560396778005
zipcode_10464,0.8507628521112105,0.8507628521112105
zipcode_10471,0.8278694727884149,0.8278694727884149
zipcode_10465,0.8031819164914312,0.8031819164914312
zipcode_11096,-0.7888724314491871,0.7888724314491871
zipcode_10307,0.77612130127443,0.77612130127443
zipcode_11229,0.7741301144589271,0.7741301144589271
zipcode_11378,0.7541520088803297,0.7541520088803297
week_of_year,0.7525763138922116,0.7525763138922116
zipcode_11379,0.7379470559980734,0.7379470559980734
zipcode_11101,0.7346858149427832,0.7346858149427832
zipcode_11697,-0.71686877858753,0.71686877858753
zipcode_10467,0.7043902085581384,0.7043902085581384
zipcode_10011,0.7015868856139231,0.7015868856139231
zipcode_10031,0.6981983048589371,0.6981983048589371
zipcode_11694,-0.6937179002463179,0.6937179002463179
zipcode_11693,-0.6788491706557751,0.6788491706557751
zipcode_11411,-0.6746124044075862,0.6746124044075862
zipcode_11207,0.6641130873666848,0.6641130873666848
zipcode_10309,0.6620200954855189,0.6620200954855189
zipcode_10033,0.6610837319066911,0.6610837319066911
zipcode_11040,-0.6595998769506808,0.6595998769506808
zipcode_11451,-0.6572342863738463,0.6572342863738463
zipcode_10473,0.6532058179963468,0.6532058179963468
zipcode_10469,0.6481877465749393,0.6481877465749393
zipcode_11004,-0.6475224275599749,0.6475224275599749
zipcode_11415,0.6473719487942067,0.6473719487942067
zipcode_11206,0.6456989823951854,0.6456989823951854
zipcode_11001,-0.6406324231187478,0.6406324231187478
zipcode_11429,-0.6370817267413715,0.6370817267413715
zipcode_11238,0.62888610579988,0.62888610579988
zipcode_11371,-0.6208858561936277,0.6208858561936277
zipcode_11104,-0.6184524078865977,0.6184524078865977
zipcode_11215,0.6084087855609969,0.6084087855609969
zipcode_10451,-0.608299545037269,0.608299545037269
zipcode_11106,-0.5911206796235692,0.5911206796235692
zipcode_10452,-0.5789012886318483,0.5789012886318483
zipcode_11364,0.5729731786341776,0.5729731786341776
zipcode_11361,0.5672575000050536,0.5672575000050536
zipcode_11102,-0.5647514407784963,0.5647514407784963
zipcode_11416,-0.5645650000629484,0.5645650000629484
zipcode_11372,-0.5607694163351632,0.5607694163351632
zipcode_10463,-0.5591342667832314,0.5591342667832314
zipcode_10470,-0.5588825289396274,0.5588825289396274
zipcode_11419,-0.5588696955615793,0.5588696955615793
zipcode_11434,0.5518013675969343,0.5518013675969343
zipcode_11359,-0.5516618519363937,0.5516618519363937
zipcode_11430,-0.5466226769335131,0.5466226769335131
zipcode_10453,-0.5461543093701767,0.5461543093701767
zipcode_10459,-0.5453534122744027,0.5453534122744027
zipcode_11218,-0.5428581637022869,0.5428581637022869
zipcode_11210,-0.5373662467236662,0.5373662467236662
zipcode_11221,0.5351076926720664,0.5351076926720664
zipcode_10468,-0.5318005689494724,0.5318005689494724
zipcode_11422,0.5311022002433562,0.5311022002433562
zipcode_11226,-0.5280146391258695,0.5280146391258695
zipcode_10472,-0.5231236119185291,0.5231236119185291
zipcode_11201,-0.5174349113415746,0.5174349113415746
zipcode_11103,-0.5168831904880673,0.5168831904880673
zipcode_11224,-0.5053913096539444,0.5053913096539444
zipcode_11691,0.5048315197540163,0.5048315197540163
zipcode_11237,0.5008846226709893,0.5008846226709893
zipcode_10312,0.4965528177777155,0.4965528177777155
zipcode_10458,-0.4952274703225317,0.4952274703225317
zipcode_11358,0.4891060743721032,0.4891060743721032
zipcode_11216,-0.48599745264328775,0.48599745264328775
zipcode_11412,-0.48326787069948357,0.48326787069948357
zipcode_11233,-0.4808114653918401,0.4808114653918401
zipcode_11436,0.47835517994276655,0.47835517994276655
zipcode_11225,-0.47662349962588435,0.47662349962588435
zipcode_11428,-0.47004613679947715,0.47004613679947715
temp_mean_lag14,-0.46892957576633226,0.46892957576633226
zipcode_11235,0.46799185601272963,0.46799185601272963
zipcode_11373,-0.4593099221667797,0.4593099221667797
zipcode_11249,-0.45903906505726955,0.45903906505726955
zipcode_11236,0.4579269577607402,0.4579269577607402
zipcode_11366,-0.45040196545870514,0.45040196545870514
zipcode_11230,-0.4474391684752997,0.4474391684752997
zipcode_11205,-0.4429946312212635,0.4429946312212635
zipcode_11231,-0.44090540748540386,0.44090540748540386
zipcode_11369,-0.43782006053685313,0.43782006053685313
zipcode_10461,0.43369499465989303,0.43369499465989303
zipcode_11109,-0.43277141115768053,0.43277141115768053
zipcode_11421,0.4304618722000298,0.4304618722000298
zipcode_11223,0.42846895825881726,0.42846895825881726
zipcode_11213,-0.42576559582667034,0.42576559582667034
temp_mean_lag7,-0.41747889139984096,0.41747889139984096
zipcode_10466,-0.4170228810865779,0.4170228810865779
zipcode_11211,-0.4155902422716394,0.4155902422716394
zipcode_11239,-0.4108118854844667,0.4108118854844667
temp_mean,-0.40651733680114255,0.40651733680114255
zipcode_10455,-0.39710620537636543,0.39710620537636543
zipcode_10457,0.395286043435026,0.395286043435026
zipcode_11433,0.3794560170251151,0.3794560170251151
zipcode_10302,-0.36822532451246404,0.36822532451246404
zipcode_11374,0.3673913504868642,0.3673913504868642
