Feature,Importance
positives_last_1w,0.22124067321418417
positives_last_2_4w,0.10338307674220504
week_of_year,0.05645206997093357
week_sin,0.05639600086355304
degree_days_14d,0.05418112807993522
borough_Manhattan,0.054044325897455
longitude,0.04808940401877916
precip_14d,0.04416867223505266
latitude,0.03694696745295857
temp_mean_lag14,0.03642226948989019
precip_7d,0.032078960549923645
temp_mean_lag7,0.03131164454186826
temp_min,0.026663281509848702
humidity_mean_lag7,0.02528045904463985
precip_sum,0.024076580954295577
humidity_mean,0.023502044323173935
temp_mean,0.021772237030791047
week_cos,0.017692626237210938
temp_max,0.01558069325742929
borough_Staten Island,0.014158350388266244
borough_Queens,0.007737294861893544
borough_Brooklyn,0.0022836025864421475
borough_Bronx,0.0018332940248353032
zipcode_10025,0.0014580674762678784
zipcode_11423,0.0013548849421924777
zipcode_10307,0.0013100924312256718
zipcode_10314,0.0012520195591295925
zipcode_10309,0.0010899638149088422
zipcode_10027,0.0008790935588281543
zipcode_11426,0.0008734862976609246
zipcode_10002,0.000873110993742621
zipcode_11096,0.000803240355459602
zipcode_11379,0.0007373983083408699
zipcode_00083,0.0006633832093820789
zipcode_11694,0.0005761917423242148
zipcode_11697,0.0005742724811141363
zipcode_11209,0.0005037321569422598
zipcode_11372,0.0005002798799222043
zipcode_11226,0.0004907550856888222
zipcode_10470,0.0004890691677754015
zipcode_10463,0.00048763425999056215
zipcode_11361,0.0004826145024420541
zipcode_10302,0.00048006021456922137
zipcode_11371,0.0004746636199799071
zipcode_11378,0.00046139096388577935
zipcode_10033,0.00045801421499775405
zipcode_10308,0.00045613372242027584
zipcode_11693,0.00045130824014286207
zipcode_10303,0.000441162320422878
zipcode_11040,0.00043987343472942614
zipcode_11360,0.0004394181975529783
zipcode_11368,0.00043701110942656005
zipcode_10467,0.0004192288472766935
zipcode_11225,0.00041091106597746624
zipcode_11229,0.00040335840117654666
zipcode_10473,0.0003982489392161106
zipcode_11434,0.00037684162614413274
zipcode_10451,0.00037667486217159195
zipcode_11415,0.0003578704336845569
zipcode_10465,0.0003539978424773913
zipcode_11692,0.0003532029753432702
zipcode_10459,0.0003518197464226238
zipcode_11215,0.00034507218248918227
zipcode_11104,0.0003404516014226309
zipcode_11238,0.00032509052170156974
zipcode_11210,0.0003201788893273412
zipcode_11218,0.0003189827354641554
zipcode_11435,0.0003175333775218577
zipcode_11451,0.00031633533896646037
zipcode_10472,0.00031275536848429094
zipcode_10471,0.00031255930384228967
zipcode_10305,0.00031039430583761556
zipcode_11355,0.0002981728982601787
zipcode_11364,0.00029560064665795573
zipcode_11239,0.00029176107363488766
zipcode_11201,0.0002807022858765149
zipcode_10310,0.00028003009123725203
zipcode_11231,0.00026923618853776256
zipcode_11422,0.0002609576437211145
zipcode_10011,0.0002588284722861921
zipcode_11001,0.0002572126983379833
zipcode_11106,0.0002568253620136726
zipcode_10312,0.0002564996095710881
zipcode_11103,0.00025540446445026724
zipcode_11005,0.0002494665008503766
zipcode_10453,0.0002455937249013115
zipcode_11249,0.00024491043139675364
zipcode_10454,0.00024219015637826788
zipcode_10304,0.0002415001712948587
zipcode_10464,0.00024012290603403383
zipcode_11359,0.00023650717356409366
zipcode_11102,0.00023460800083267887
zipcode_11213,0.00023049699790389904
zipcode_11385,0.00023034425658955744
zipcode_11374,0.00022917541732044017
zipcode_10306,0.00022516574475266125
zipcode_11365,0.0002248280582108063
zipcode_10468,0.00022362379915546622
zipcode_11430,0.00022362085495472792
zipcode_11354,0.0002232436187778259
zipcode_11214,0.00021955505939658817
zipcode_10039,0.00021811285597913972
zipcode_11429,0.00020713490013507307
zipcode_11221,0.00020485479491955962
zipcode_11230,0.00019225983158980154
zipcode_11105,0.00018922392448818146
zipcode_11428,0.00018788949991869024
zipcode_11233,0.00018425025317051483
zipcode_11411,0.0001829389182328409
zipcode_11204,0.0001822064919473591
zipcode_11237,0.00018142824827678986
zipcode_11362,0.00017939752094438664
zipcode_10475,0.00017821604360133476
zipcode_11416,0.0001727537303821615
zipcode_11205,0.00017188141069234247
zipcode_11377,0.00016823710725251143
zipcode_11222,0.00016821747258315768
zipcode_11206,0.00016418493803858366
zipcode_10461,0.00016365815551219352
zipcode_10301,0.00016115607333105135
zipcode_11228,0.00015548600429177758
zipcode_11373,0.00015543177673631086
zipcode_11369,0.00015365738914357999
zipcode_10455,0.0001536276471730746
zipcode_10021,0.0001530532919511492
zipcode_11212,0.0001501802615080682
zipcode_11367,0.0001483321199876078
zipcode_10458,0.00014649139045003605
zipcode_10028,0.000144359581322149
zipcode_11412,0.0001441202927049804
zipcode_10031,0.0001437650341826346
zipcode_10469,0.0001419986898453518
zipcode_11207,0.00013925360693186042
zipcode_10007,0.00013827564959058714
zipcode_11419,0.0001379295881028112
zipcode_10282,0.0001349100933356818
zipcode_10022,0.00013418957608519062
zipcode_11224,0.0001321129774274192
zipcode_11235,0.0001283815450194552
zipcode_11101,0.00012788763038375304
zipcode_10474,0.00012516276268896136
zipcode_10005,0.00012505321369353435
zipcode_10020,0.00012174569370045376
zipcode_10456,0.00012159246315729498
zipcode_11421,0.00011936353894781695
zipcode_11004,0.00011862293324114206
zipcode_11366,0.00011739782084102699
zipcode_10462,0.00011181297513630981
zipcode_11436,0.00011087041270998144
zipcode_10023,0.00010993853775542757
zipcode_11223,0.00010981280167209626
zipcode_10460,0.0001006099399174958
zipcode_11370,9.746915698740055e-05
zipcode_10280,9.569865723136821e-05
zipcode_11420,9.194511371556744e-05
zipcode_11211,8.72940197762868e-05
zipcode_11203,8.279967792709157e-05
zipcode_11356,8.23124269467148e-05
zipcode_11220,8.022034191761315e-05
zipcode_10111,7.887806447950314e-05
zipcode_11417,7.44437986359872e-05
zipcode_11251,7.311723257498658e-05
zipcode_11427,7.22034678649616e-05
zipcode_10030,7.182657377853266e-05
zipcode_11363,7.143267141603135e-05
zipcode_10003,7.090195915627363e-05
zipcode_11358,6.731404168704394e-05
zipcode_10075,6.65366752729174e-05
zipcode_10010,6.521069508960463e-05
zipcode_10040,6.42800717400418e-05
zipcode_10128,6.240638304982272e-05
zipcode_11236,5.944274276607627e-05
zipcode_10115,5.917467047044116e-05
zipcode_11357,5.871409376019664e-05
zipcode_10034,5.779171092709467e-05
zipcode_10065,5.768845504315015e-05
zipcode_11234,5.698380861932263e-05
zipcode_11109,5.493891921397764e-05
zipcode_11219,5.3724071450036096e-05
zipcode_11433,5.272617289643067e-05
zipcode_10044,5.1029780752778545e-05
zipcode_11432,4.674526079426787e-05
zipcode_11208,4.557206656186009e-05
zipcode_10017,4.147964642402622e-05
zipcode_11418,4.1330133796071586e-05
zipcode_10466,3.954713061052141e-05
zipcode_11232,3.951036074952731e-05
zipcode_11413,3.919077823524998e-05
zipcode_10006,3.817973561175726e-05
zipcode_10457,3.761809728357415e-05
zipcode_10013,3.555333814523011e-05
zipcode_10038,2.996610390876325e-05
zipcode_11216,2.916932595791981e-05
zipcode_10018,2.9083839065002868e-05
zipcode_11414,2.8922502758440218e-05
zipcode_10026,2.7535173974641818e-05
zipcode_10048,2.6416213264200874e-05
zipcode_10004,2.6301903688609225e-05
zipcode_10001,2.5412730112485356e-05
zipcode_10016,2.3107073586010292e-05
zipcode_10014,2.213444377066371e-05
zipcode_10035,2.1747926294015636e-05
zipcode_10029,1.4079510108624181e-05
zipcode_10037,1.297682739474411e-05
zipcode_10019,8.772083079433974e-06
zipcode_10024,8.436081113045654e-06
zipcode_11375,8.090296543985045e-06
zipcode_10032,6.865603008257011e-06
zipcode_11691,6.4951062673883416e-06
zipcode_10009,6.25059119168816e-06
zipcode_10069,5.5654783894615124e-06
zipcode_10036,4.977244774689211e-06
zipcode_10012,4.413789418543291e-06
zipcode_10281,2.00169129856815e-06
zipcode_10452,1.9062997742648836e-06
zipcode_11217,1.0345383883642933e-06
