Model,Accuracy,Precision,Recall,F1,ROC-AUC
Linear Regression,0.894,0.809,0.632,0.71,0.922
Logistic Regression,0.856,0.612,0.816,0.7,0.919
Random Forest,0.793,0.497,0.851,0.627,0.921
XGBoost,0.859,0.617,0.816,0.703,0.932
